ID;name;category;main_category;currency;deadline;goal;launched;pledged;state;backers;country
1000002330;The Songs of Adelaide & Abullah;Poetry;Publishing;GBP;09/10/2015;1000.0;11/08/2015 12:12;0.00;failed;0;GB
1000003930;Greeting From Earth: ZGAC Arts Capsule For ET;Narrative Film;Film & Video;USD;01/11/2017;30000.0;02/09/2017 04:43;2421.00;failed;15;US
1000004038;Where is Hank?;Narrative Film;Film & Video;USD;26/02/2013;45000.0;12/01/2013 00:20;220.00;failed;3;US
1000007540;ToshiCapital Rekordz Needs Help to Complete Album;Music;Music;USD;16/04/2012;5000.0;17/03/2012 03:24;1.00;failed;1;US
1000011046;Community Film Project: The Art of Neighborhoo...;Film & Video;Film & Video;USD;29/08/2015;19500.0;04/07/2015 08:35;1283.00;failed;14;US
1000014025;Monarch Espresso Bar;Restaurants;Food;USD;01/04/2016;50000.0;26/02/2016 13:38;52375.00;successful;224;US
1000023410;Support Solar Roasted Coffee & Green Energy! ...;Food;Food;USD;21/12/2014;1000.0;01/12/2014 18:30;1205.00;successful;16;US
1000030581;Chaser Strips. Our Strips make Shots their B*tch!;Drinks;Food;USD;17/03/2016;25000.0;01/02/2016 20:05;453.00;failed;40;US
1000034518;SPIN - Premium Retractable In-Ear Headphones w...;Product Design;Design;USD;29/05/2014;125000.0;24/04/2014 18:14;8233.00;failed;58;US
100004195;STUDIO IN THE SKY - A Documentary Feature Film...;Documentary;Film & Video;USD;10/08/2014;65000.0;11/07/2014 21:55;6240.57;failed;43;US
100004721;Of Jesus and Madmen;Nonfiction;Publishing;CAD;09/10/2013;2500.0;09/09/2013 18:19;0.00;failed;0;CA
100005484;Lisa Lim New CD!;Indie Rock;Music;USD;08/04/2013;12500.0;09/03/2013 06:42;12700.00;successful;100;US
1000055792;The Cottage Market;Crafts;Crafts;USD;02/10/2014;5000.0;02/09/2014 17:11;0.00;failed;0;US
1000056157;G-Spot Place for Gamers to connect with eachot...;Games;Games;USD;25/03/2016;200000.0;09/02/2016 23:01;0.00;failed;0;US
1000057089;Tombstone: Old West tabletop game and miniatur...;Tabletop Games;Games;GBP;03/05/2017;5000.0;05/04/2017 19:44;94175.00;successful;761;GB
1000064368;Survival Rings;Design;Design;USD;28/02/2015;2500.0;29/01/2015 02:10;664.00;failed;11;US
1000064918;The Beard;Comic Books;Comics;USD;08/11/2014;1500.0;09/10/2014 22:27;395.00;failed;16;US
1000068480;Notes From London: Above & Below;Art Books;Publishing;USD;10/05/2015;3000.0;10/04/2015 21:20;789.00;failed;20;US
1000070642;Mike Corey's Darkness & Light Album;Music;Music;USD;17/08/2012;250.0;02/08/2012 14:11;250.00;successful;7;US
1000071625;Boco Tea;Food;Food;USD;02/06/2012;5000.0;03/05/2012 17:24;1781.00;failed;40;US
1000072011;CMUK. Shoes: Take on Life Feet First.;Fashion;Fashion;USD;30/12/2013;20000.0;25/11/2013 07:06;34268.00;successful;624;US
1000081649;MikeyJ clothing brand fundraiser;Childrenswear;Fashion;AUD;07/09/2017;2500.0;08/08/2017 01:20;1.00;failed;1;AU
1000082254;Alice in Wonderland in G Minor;Theater;Theater;USD;15/06/2014;3500.0;16/05/2014 10:10;650.00;failed;12;US
1000087442;Mountain brew: A quest for alcohol sustainability;Drinks;Food;NOK;25/02/2015;500.0;26/01/2015 19:17;48.00;failed;3;NO
1000091520;The Book Zoo - A Mini-Comic;Comics;Comics;USD;12/11/2014;175.0;23/10/2014 17:15;701.66;successful;66;US
1000102741;Matt Cavenaugh & Jenny Powers make their 1st a...;Music;Music;USD;06/01/2011;10000.0;07/12/2010 23:16;15827.00;successful;147;US
1000103948;Superhero Teddy Bear;DIY;Crafts;GBP;05/01/2016;12000.0;06/12/2015 20:09;0.00;failed;0;GB
1000104688;Permaculture Skills;Webseries;Film & Video;CAD;14/12/2014;17757.0;14/11/2014 18:02;48905.00;successful;571;CA
1000104953;Rebel Army Origins: The Heroic Story Of Major ...;Comics;Comics;GBP;28/01/2016;100.0;29/12/2015 16:59;112.38;successful;27;GB
100011318;My Moon - Animated Short Film;Animation;Film & Video;USD;03/05/2017;50000.0;03/04/2017 17:11;57577.31;successful;840;US
