location_name;lat;lng
malomo Malawi;-1.477887e+06;3.764225e+06
El Carrizal Mexico;2.342341e+06;-1.117616e+07
Linakeng  Thaba Tseka Lesotho;-3.448365e+06;3.222031e+06
Villa Hermosa de Buenos Aires Costa Rica;1.191516e+06;-9.511440e+06
Rike  Georgia;5.115103e+06;4.988241e+06
Villa Rey Echague Isabela  Philippines;1.879689e+06;1.356688e+07
Shyorongi/Rurindo Rwanda;-2.067911e+05;3.336535e+06
Tapikilares  Honduras;1.677678e+06;-9.770141e+06
Chulucanas  Peru;-5.677682e+05;-8.923326e+06
Gabunon Tambulig ZDS  Philippines;9.033059e+05;1.375045e+07
Dafara Mali;1.362784e+06;-8.757134e+05
Allah Ditta  Pakistan;3.589045e+06;8.215481e+06
Selenge  Mongolia;6.447302e+06;1.184923e+07
Santiago  Chile;-3.955039e+06;-7.866867e+06
Kfarshima  Lebanon;4.004238e+06;3.955856e+06
Mean Chhey District  Cambodia;1.292352e+06;1.168304e+07
